url,repo_indexable,production_sitemap,gsc_known,gsc_indexed,http_status,robots,canonical,google_canonical,last_crawl,discovery_source,cluster,page_type,main_content_inlinks,click_depth,decision
https://familyboard.win/guides/how-long-to-keep-household-records/,NO,NO,YES,YES,200,"noindex,follow",https://familyboard.win/guides/how-long-to-keep-household-records/,,,unknown,,,,3,GSC indexed
https://familyboard.win/guides/how-to-track-product-warranties/,YES,YES,YES,YES,200,"index,follow,max-image-preview:large",https://familyboard.win/guides/how-to-track-product-warranties/,,,sitemap,,,9,2,GSC indexed
https://familyboard.win/guides/humidifier-maintenance-guide/,YES,YES,YES,YES,200,"index,follow,max-image-preview:large",https://familyboard.win/guides/humidifier-maintenance-guide/,,,sitemap,,,7,2,GSC indexed
https://familyboard.win/guides/maintenance-priorities/,NO,NO,YES,YES,200,"noindex,follow",https://familyboard.win/guides/maintenance-priorities/,,,unknown,,,,3,GSC indexed
https://familyboard.win/guides/microwave-maintenance-checklist/,YES,YES,YES,YES,200,"index,follow,max-image-preview:large",https://familyboard.win/guides/microwave-maintenance-checklist/,,,sitemap,,,7,2,GSC indexed
https://familyboard.win/guides/monthly-home-maintenance-checklist/,YES,YES,YES,YES,200,"index,follow,max-image-preview:large",https://familyboard.win/guides/monthly-home-maintenance-checklist/,,,sitemap,,,6,2,GSC indexed
https://familyboard.win/guides/move-in-maintenance-checklist/,NO,NO,YES,NO,200,"noindex,follow",https://familyboard.win/guides/move-in-maintenance-checklist/,,,unknown,,,,3,known but not indexed
https://familyboard.win/guides/moving-house-organizer/,YES,YES,YES,YES,200,"index,follow,max-image-preview:large",https://familyboard.win/guides/moving-house-organizer/,,,sitemap,,,6,2,GSC indexed
https://familyboard.win/guides/moving-inventory/,NO,NO,YES,YES,200,"noindex,follow",https://familyboard.win/guides/moving-inventory/,,,unknown,,,,3,GSC indexed
https://familyboard.win/guides/new-home-setup-checklist/,NO,NO,YES,NO,200,"noindex,follow",https://familyboard.win/guides/new-home-setup-checklist/,,,unknown,,,,3,known but not indexed
https://familyboard.win/guides/organize-pet-records/,YES,YES,YES,YES,200,"index,follow,max-image-preview:large",https://familyboard.win/guides/organize-pet-records/,,,sitemap,,,6,2,GSC indexed
https://familyboard.win/guides/organize-school-records-at-home/,NO,NO,YES,YES,200,"noindex,follow",https://familyboard.win/guides/organize-school-records-at-home/,,,unknown,,,,3,GSC indexed
https://familyboard.win/guides/organize-utility-account-information/,NO,NO,YES,YES,200,"noindex,follow",https://familyboard.win/guides/organize-utility-account-information/,,,unknown,,,,3,GSC indexed
https://familyboard.win/guides/organize-vehicle-documents-at-home/,NO,NO,YES,YES,200,"noindex,follow",https://familyboard.win/guides/organize-vehicle-documents-at-home/,,,unknown,,,,3,GSC indexed
https://familyboard.win/guides/oven-maintenance-checklist/,YES,YES,YES,YES,200,"index,follow,max-image-preview:large",https://familyboard.win/guides/oven-maintenance-checklist/,,,sitemap,,,7,2,GSC indexed
https://familyboard.win/guides/photo-home-inventory/,YES,YES,YES,YES,200,"index,follow,max-image-preview:large",https://familyboard.win/guides/photo-home-inventory/,,,sitemap,,,7,2,GSC indexed
https://familyboard.win/guides/power-outage-home-preparedness/,YES,YES,YES,YES,200,"index,follow,max-image-preview:large",https://familyboard.win/guides/power-outage-home-preparedness/,,,sitemap,,,7,2,GSC indexed
https://familyboard.win/guides/quarterly-home-maintenance-checklist/,YES,YES,YES,YES,200,"index,follow,max-image-preview:large",https://familyboard.win/guides/quarterly-home-maintenance-checklist/,,,sitemap,,,6,2,GSC indexed
https://familyboard.win/guides/range-hood-maintenance-checklist/,NO,NO,YES,YES,200,"noindex,follow",https://familyboard.win/guides/range-hood-maintenance-checklist/,,,unknown,,,,3,GSC indexed
https://familyboard.win/guides/renovation-records/,YES,YES,YES,YES,200,"index,follow,max-image-preview:large",https://familyboard.win/guides/renovation-records/,,,sitemap,,,6,2,GSC indexed
